smiles,pka,marvin_pKa_type
C#CCC(CCC)OC[n+]1ccn(C)c1C=NO,7.92,acidic
C#CCC(OC[n+]1ccn(C)c1C=NO)c1ccccc1,7.99,acidic
C#CCCC(=O)O,4.2,acidic
C#CCCCC(=O)O,4.6,acidic
C#CCCCCC(=O)O,4.58,acidic
C#CCCCCCCN,10.74,basic
C#CCCCCCN,10.64,basic
C#CCCCCN,10.5,basic
C#CCCCCN(C)C,9.24,basic
C#CCCCC[n+]1ccccc1C=NO,7.93,acidic
C#CCCCC[n+]1ccn(C)c1C=NO,8.18,acidic
C#CCCCC[n+]1ccn(COC)c1C=NO,8.23,acidic
C#CCCCC[n+]1cn(C)c(C=NO)n1,7.34,acidic
C#CCCCN,10.21,basic
C#CCCCN(C)C,8.88,basic
C#CCCCOC[n+]1ccn(C)c1C=NO,8.2,acidic
C#CCCN,9.23,basic
C#CCCN(C)C,8.33,basic
C#CCCOC[n+]1ccc(C=NO)cc1,8.18,acidic
C#CCCOC[n+]1ccn(C)c1C=NO,7.99,acidic
C#CCN,8.19,basic
C#CCN(C)C,7.05,basic
C#CCN(C)[C@H](C)Cc1ccccc1,8.015,basic
C#CCN(C1=NCCN1)c1c(Br)cccc1Br,10.1,basic
C#CCN(CC#C)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,9.3,basic
C#CCN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,9.4,basic
C#CCN1CCN(C(=O)OCC)CC1,5.44,basic
C#CCN1CCOCC1,5.54,basic
C#CCNCC#C,6.08,basic
C#CCNN,5.46,basic
C#CCNc1ccccc1,3.06,basic
C#CCOC[n+]1ccn(C)c1C=NO,8.01,acidic
C#CCOc1noc2c1CNCC2,7.6,basic
C#C[C@]1(O)C[C@@H](C)N(C)[C@@H]2CCCC[C@H]21,9.53,basic
C#C[C@]1(O)C[C@@H](C)N(C)[C@H]2CCCC[C@@H]21,8.99,basic
C#C[C@]1(O)C[C@@H](C)N[C@@H]2CCCC[C@H]21,9.73,basic
C#C[C@]1(O)C[C@@H](C)N[C@H]2CCCC[C@@H]21,9.29,basic
C#C[C@]1(O)C[C@H](C)N(C)[C@@H]2CCCC[C@H]21,9.22,basic
C#C[C@]1(O)C[C@H](C)N[C@@H]2CCCC[C@H]21,9.63,basic
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,7.47,basic
C(=C/c1ccncc1)\c1ccccc1,5.97,basic
C(=C\c1ccncc1)\c1ccccc1,5.77,basic
C(=N/c1ccccc1)\c1ccccc1,4.55,basic
C(=Nc1ccccc1)Nc1ccccc1,6.3,basic
C/C(=C/Cl)C(=O)O,3.05,acidic
C/C(=C\Cl)C(=O)O,4.03,acidic
C/C=C/C#CC(=O)O,2.67,acidic
C/C=C/CCC(=O)O,4.72,acidic
C/C=C/CN(C1=NCCN1)c1c(Br)cccc1Br,11,basic
C/C=C/COC[n+]1ccn(C)c1C=NO,8.07,acidic
C/C=C/COc1noc2c1CNCC2,7.7,basic
C/C=C\COC[n+]1ccn(C)c1C=NO,8.04,acidic
C/N=C(/SC)c1ccccc1,6.42,basic
C/N=c1/oc2c(n1C)CCCC2,10.23,basic
C/N=c1/sc2c(n1C)CCCC2,10,basic
C/N=c1/scc(C)n1C,9.97,basic
C1=C(c2ccccc2)C2CCN1CC2,9.1,basic
C1=C(c2ccco2)C2CCN1CC2,8.92,basic
C1=C(c2nc3ccccc3o2)C2CCN1CC2,7.23,basic
C1=C(c2nc3ccccc3s2)C2CCN1CC2,7.4,basic
C1=NC(c2ccccc2)NC1,6.48,basic
C1=NCNC1,6.99,basic
C1CC2CC1NN2,7.94,basic
C1CC2CCC1CN2,11,basic
C1CC2CCCN2C1,11.74,basic
C1CCC(C2=NCCC2)CC1,6.05,basic
C1CCC(C2CCCN2)CC1,10.8,basic
C1CCC(N2CCCC2)CC1,10.7,basic
C1CCC2CNCCC2C1,10.95,basic
C1CCC2NCCCC2C1,10.9,basic
C1CCCNCC1,10.94,basic
C1CCCNCCC1,10.78,basic
C1CCN(N2CCCC2)C1,7.16,basic
C1CCN(N2CCCCC2)CC1,7.09,basic
C1CCN2CCCCN2C1,6.79,basic
C1CCNC1,11.285,basic
C1CCNCC1,11.18,basic
C1CCc2c(nnc3c2CCCC3)C1,6.12,basic
C1CCc2nnc3c(c2CC1)CCCC3,6.03,basic
C1CN(CC2CO2)CCO1,5.88,basic
C1CN1,6.05,basic
C1CN2CCC1CC2,11.04,basic
C1CN2CCCN2C1,7.95,basic
C1CN2CC[C@H]3CO[C@@H]1[C@H]32,9.44,basic
C1CN=C2NCCC2C1,11.7,basic
C1CNC1,10.995,basic
C1COC(=NC(C2CC2)C2CC2)N1,9.26,basic
C1COCCN1,8.4825,basic
C1COCCOCc2n[nH]c(n2)COCCOCCO1,9.55,acidic
C1CSCCN1,9.05,basic
C1CSCN1,6.31,basic
C1OC1CN(CC1CO1)CC1CO1,5.01,basic
C=C(Br)COc1noc2c1CNCC2,7.6,basic
C=C(C(=O)O[C@@H]1C[C@H]2[C@H]3O[C@H]3[C@@H](C1)N2C)c1ccccc1,7.72,basic
C=C(C)C(=O)NC(C)(C)CCN(C)C,9.37,basic
C=C(C)C(=O)NC(C)CN(C)C,8.51,basic
C=C(C)C(=O)NCCCN(C)C,9.25,basic
C=C(C)C(=O)NCCN(C)C,8.54,basic
C=C(C)C(=O)NCCN(CC)CC,9.37,basic
C=C(C)C(=O)O,4.66,acidic
C=C(C)C(=O)OC(C)CN(C)C,7.96,basic
C=C(C)C(=O)OC(C)CN(CC)CC,8.65,basic
C=C(C)C(=O)OCCCN,9.62,basic
C=C(C)C(=O)OCCN,8.7,basic
C=C(C)C(=O)OCCN(C(C)C)C(C)C,8.77,basic
C=C(C)C(=O)OCCN(C)C,8.06,basic
C=C(C)C(=O)OCCN(C)CCCC,8.27,basic
C=C(C)C(=O)OCCN(CC)CC,8.66,basic
C=C(C)C(=O)OCCNC,8.96,basic
C=C(C)C(=O)OCCNC(C)C,9.13,basic
C=C(C)C(=O)OCCNCC,9.15,basic
C=C(C)C(=O)OCCNCC(C)C,8.91,basic
C=C(C)C(=O)OCCNCCCC,9.12,basic
C=C(C)C(C)(C(N)=O)C(=O)O,3.42,acidic
C=C(C)C(N)O,8,basic
C=C(C)CC(OC[n+]1ccn(C)c1C=NO)C(=C)C,7.91,acidic
C=C(C)CCN(C1=NCCN1)c1c(Br)cccc1Br,10.9,basic
C=C(C)CCOC[n+]1ccn(C)c1C=NO,8.03,acidic
C=C(C)CN(C1=NCCN1)c1c(Br)cccc1Br,10.71,basic
C=C(C)COC[n+]1ccn(C)c1C=NO,7.99,acidic
C=C(C)[C@@H]1CN(C(C)=O)C(C(=O)OC)[C@@H]1CC(=O)O,4.6,acidic
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,3.5,acidic
C=C(CCCC)C(=O)O,4.8,acidic
C=C(F)C(=O)O,2.55,acidic
C=C(F)CN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,9.4,basic
C=C(OC)C(=O)O,3.38,acidic
C=C(SC1CCCCC1)C(=O)O,3.4,acidic
C=C=CCOC[n+]1ccn(C)c1C=NO,8.03,acidic
C=CC#CCC(=O)O,3.41,acidic
C=CC(=O)NC(C)(C)CCN(C)C,9.39,basic
C=CC(=O)NC(C)(C)CCN(CC)CC,10.09,basic
C=CC(=O)NCCCN(C)C,9.23,basic
C=CC(=O)O,4.25,acidic
C=CC(=O)OCCN(C)C,8.25,basic
C=CC(=O)OCCN(CC)CC,8.55,basic
C=CC(C)(C)N(C)C(C)(C)C,11.3,basic
C=CC(C)(C)NC(C)(C)C=C,10.1,basic
C=CC(C)(C)NC(C)(C)CC,10.8,basic
C=CC(C)(C)Nc1ccccc1,4.88,basic
C=CC(C)(C)OCC(O)CNC(C)(C)C,9.67,basic
C=CC(C)(C)OC[n+]1ccn(C)c1C=NO,7.94,acidic
C=CC(C)(CC)N(C)C(C)C,11.3,basic
C=CC(C)Nc1ccccc1,4.57,basic
C=CC(CCC)OC[n+]1ccn(C)c1C=NO,7.99,acidic
C=CC12C=c3cc(OCC(=O)O)c(Cl)c(Cl)c3=C1CC(=O)CC2,3.5,acidic
C=CC1CN2CCC1CC2C(=O)O,10.6,basic
C=CCC(C)(CN(CC)CC)OC(=O)CC(C)C,8.1,basic
C=CCC(C)(CN(CC)CC)OC(=O)CCC,8.5,basic
C=CCC(C)(CN(CC)CC)OC(=O)c1ccccc1,7.8,basic
C=CCC(C)(CN(CC)CC)OC(C)=O,9.85,basic
C=CCC(C)(O)CN(CC)CC,9.71,basic
C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,4.74,acidic
C=CCC1(CC=C)SC(=O)NC1=O,6.1,acidic
C=CCCC(=O)O,4.68,acidic
C=CCCN(C1=NCCN1)c1c(Br)cccc1Br,11.2,basic
C=CCCOC[n+]1ccn(C)c1C=NO,7.97,acidic
C=CCN,9.74,basic
C=CCN(C)C,8.72,basic
C=CCN(C)CCCCCCOc1ccc(C(=O)c2ccc(Br)cc2)cc1,8.18,basic
C=CCN(C)CCOC(=O)C(=C)C,7.39,basic
C=CCN(C1=NCCN1)c1c(Br)cccc1Br,10.7,basic
C=CCN(C1=NCCN1)c1c(Cl)cccc1Cl,10.42,basic
C=CCN(CC(C)O)CC(C)O,8.2,basic
C=CCN(CC)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN,9.5,basic
C=CCN(CC1CO1)CC1CO1,6.16,basic
C=CCN(CC=C)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,9.4,basic
C=CCN(CC=C)CC=C,8.31,basic
C=CCN(CC=C)CCOC(=O)C(=C)C,7.02,basic
C=CCN1CCCCC1,9.66,basic
C=CCN1CCOCC1,7.05,basic
C=CCNCC=C,9.35,basic
C=CCNc1ccccc1,4.17,basic
C=CCOC[n+]1ccn(C)c1C=NO,8.04,acidic
C=CCOc1ccc(C(=O)O)cc1,4.45,acidic
C=CCOc1ccccc1OCC(O)CNC(C)C,9.523333,basic
C=CCOc1noc2c1CNCC2,7.5,basic
C=CCc1c(C)[nH]n(C)c1=O,10.5,acidic
C=CCc1ccc(O)c(OC)c1,10,acidic
C=CCc1ccccc1OCC(O)CNC(C)C,9.527143,basic
C=CCn1cc(C=NO)[n+](C)c1,9.56,acidic
C=CCn1cc(C=NO)[n+](C)c1SC,9.33,acidic
C=C[C@@H]1CNC(=S)O1,10.25,acidic
C=C[C@]1(O)C[C@@H](C)N[C@@H]2CCCC[C@H]21,9.98,basic
C=Cc1ccc(C)nc1,5.67,basic
C=Cc1ccc(O)cc1,9.91,acidic
C=Cc1ccccn1,4.95,basic
C=Cc1cccnc1,4.87,basic
C=Cc1ccncc1,5.62,basic
C=Cc1noc(C2=CCCNC2)n1,8.23,basic
C=NC(=O)CC(C)C(=O)O,3.23,acidic
C=NC(=O)CCC(=O)O,3.98,acidic
C=NC(=O)CCc1cccc2c(=Nc3ccc(NS(C)(=O)=O)cc3OC)c3ccccc3[nH]c12,7.15,acidic
C=c1[nH]cc(C)c(=CNCCCCCC)c1=O,6.22,basic
C=c1[nH]cc(C)c(=C[NH2+]CCCCCC)c1=O,3.39,basic
CC#CC#CC=C=C[C@@H](O)CCC(=O)O,4.9,acidic
CC#CC(=O)O,2.63,acidic
CC#CC(C)(C)OC[n+]1ccn(C)c1C=NO,7.96,acidic
CC#CC(C)OC[n+]1ccn(C)c1C=NO,8.03,acidic
CC#CC(O)c1c(C)nc2c3c(c(C(=O)N(C)C)cn12)CCC(c1ccccc1)O3,5.58,basic
CC#CCC(=O)O,3.6,acidic
CC#CCCOC[n+]1ccn(C)c1C=NO,8.04,acidic
CC#CCOc1noc2c1CNCC2,7.6,basic
CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,8.6,basic
CC#C[C@@H](CC(=O)O)c1ccc(OCc2ccc(CN3CCCc4cccc(OC)c43)s2)cc1,3.4,acidic
CC#C[C@@H](CC(=O)O)c1ccc(OCc2ccc(N3CCC4(CCc5ccccc54)CC3)s2)cc1,3.4,acidic
CC#C[C@@H](CC(=O)O)c1ccc(OCc2ccc3nc(-c4c(C)cccc4C)nn3c2)cc1,4.3,acidic
CC#C[C@H](C)Oc1cc(N)c(Cl)cc1C(=O)N[C@H]1C[C@@H]2CC[C@H](C1)N2C,9.95,basic
CC(=CC(=O)O)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,4.51,acidic
CC(=CC(=O)O)Cc1ccccc1,5.35,acidic
CC(=N)N1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,10.74,basic
CC(=N)N1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,10.92,basic
CC(=N)NN(C)C,10,basic
CC(=NCc1ccc(F)cc1)Nc1ccc2c(c1)[C@@H](NC(=O)c1ccc(Br)cc1)[C@H](O)C2,8.49,basic
CC(=NO)C(=O)CO,9.16,acidic
CC(=NO)C(=O)c1ccccc1,9.25,acidic
CC(=NO)C(C)=NO,11.25,acidic
CC(=NO)C(CO)=NO,10.1,acidic
CC(=NO)NO,10.75,acidic
CC(=Nc1ccc(F)cc1)Nc1ccc2c(c1)[C@@H](NC(=O)c1ccc(Br)cc1)[C@H](O)C2,8.2,basic
CC(=Nc1ccccc1)Nc1ccccc1,8.3,basic
CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,7.3,acidic
CC(=O)/N=c1\ccccn1C,7.12,basic
CC(=O)/N=c1\sc(S(N)(=O)=O)nn1C,7.3,acidic
CC(=O)C(=NO)C(C)=O,7.44,acidic
CC(=O)C(=NO)C(C)C,9.5,acidic
CC(=O)C(=NO)c1ccc(Sc2cc(F)cc(C3CCOCC3)c2)cc1,8.4,acidic
CC(=O)C(=NO)c1ccccc1,8.85,acidic
CC(=O)C(=O)CC(=O)C(C)=O,4.68,acidic
CC(=O)C(=O)O,2.39,acidic
CC(=O)C(C(C)=O)c1ccccc1,9.32,acidic
CC(=O)C(C)=NO,9.4,acidic
CC(=O)C(C)C(=O)C(C)C,11.8,acidic
CC(=O)C(C)C(=O)c1ccccc1,11.13,acidic
CC(=O)C(C)C(C)(C)C(=O)O,5.79,acidic
CC(=O)C(C)C(C)=O,10.79,acidic
CC(=O)C(CCN1CCOCC1)(c1ccccc1)c1ccccc1,6.83,basic
CC(=O)C(CN1CCOCC1)c1ccccc1,6.23,basic
CC(=O)C(Cc1ccc(C#N)cc1)C(C)=O,9.69,acidic
CC(=O)C(Cc1ccc(Cl)cc1)C(C)=O,10.25,acidic
CC(=O)C(Cl)=NO,7.9,acidic
CC(=O)C1=C(C(=O)O)CCCC1,4.4,acidic
CC(=O)C1C(=O)c2ccccc2C1=O,2.88,acidic
CC(=O)C1CC(C(=O)O)C1(C)C,4.63,acidic
CC(=O)C1CC1C(=O)O,4.19,acidic
CC(=O)C1CCCC1=O,7.82,acidic
CC(=O)C1CCCCC1=O,10.21,acidic
CC(=O)C1C[C@@H](CC(=O)O)C1(C)C,4.82,acidic
CC(=O)C=NO,8.338333,acidic
CC(=O)CC(=O)/C=C/c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,9.24,acidic
CC(=O)CC(=O)C(C)C,9.46,acidic
CC(=O)CC(=O)C(F)(F)F,6.09,acidic
CC(=O)CC(=O)CC(C)C,9.07,acidic
CC(=O)CC(=O)Nc1ccc(C)cc1,10.15,acidic
CC(=O)CC(=O)Nc1cccc(C)c1,10,acidic
CC(=O)CC(=O)Nc1ccccc1,9.94,acidic
CC(=O)CC(=O)O,3.57,acidic
CC(=O)CC(=O)c1ccccc1,8.69,acidic
CC(=O)CC(C)=O,8.245,acidic
CC(=O)CC(N)=O,9.935,acidic
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,4.9875,acidic
CC(=O)CC(c1ccccc1)c1c(S)c2ccccc2oc1=O,6.6,acidic
CC(=O)CC=O,6.12,acidic
CC(=O)CCC(=O)O,4.63,acidic
CC(=O)CCCC(=O)O,4.66,acidic
CC(=O)CCCCN(C)C,9.66,basic
CC(=O)CCN(C)C,8.95,basic
CC(=O)CCN1CCOCC1,6.66,basic
CC(=O)C[C@@H](c1ccccc1)c1c(O)c2ccccc2oc1=O,6.655,acidic
CC(=O)N(C)CC(=O)O,3.16,acidic
CC(=O)N(C)C[C@H]1C[C@H](c2ccc(CN3CCCC3)c(Cl)c2)C1,9.3,basic
CC(=O)N(C)O,8.73,acidic
CC(=O)N(C)c1ccccn1,2.01,basic
CC(=O)N(C)c1cccnc1,3.52,basic
CC(=O)N(C)c1ccncc1,4.62,basic
CC(=O)N(C)c1nc2nc(C)ncc2cc1-c1c(Cl)cccc1Cl,4.2,basic
CC(=O)N(C)c1nnc(S(N)(=O)=O)s1,7.4,acidic
CC(=O)N(O)CCc1ccccc1,8.83,acidic
CC(=O)N(O)c1ccccc1,8.36,acidic
CC(=O)N(c1ccccc1)c1nnc(S(N)(=O)=O)s1,7.32,acidic
CC(=O)N1CCCC1C(=O)O,3.21,acidic
CC(=O)N1CCN(C)CC1,7.1,basic
CC(=O)N1CCN(CCC[C@@]2(c3ccccc3)CC(c3cc(F)ccc3F)=NN2C(C)=O)CC1,6.7,basic
CC(=O)N1CCNCC1,7.94,basic
CC(=O)N1CCNc2ncnc(C)c21,5.26,basic
CC(=O)N1CS(=O)(=O)CC1C(=O)O,2.23,acidic
CC(=O)N1CS(=O)CC1C(=O)O,2.5,acidic
CC(=O)N1CSCC1C(=O)O,2.94,acidic
CC(=O)N1C[C@@]2(C(C)C)OC(=O)C[C@H]2C1C(=O)O,3.2,acidic
CC(=O)N1N=C(c2cc(F)ccc2F)C[C@@]1(CCCN1CC(F)C1)c1ccccc1,7.1,basic
CC(=O)N1N=C(c2cc(F)ccc2F)C[C@@]1(CCCN1CC2CCC1C2)c1ccccc1,10.1,basic
CC(=O)N1N=C(c2cc(F)ccc2F)C[C@@]1(CCCN1CCCC1)c1ccccc1,9.4,basic
CC(=O)N1N=C(c2cc(F)ccc2F)C[C@@]1(CCCN1CCOCC1)c1ccccc1,7.1,basic
CC(=O)N1N=C(c2cc(F)ccc2F)C[C@@]1(CCCN1C[C@H]2C[C@@H]1CO2)c1ccccc1,8,basic
CC(=O)N=C(N(C)C)N(C)C,7.5,basic
CC(=O)N=C(N)N,7.6,basic
CC(=O)N=c1[nH]c2nc(C)ncc2cc1-c1c(Cl)cccc1Cl,4.1,basic
CC(=O)N=c1c(-c2c(Cl)cccc2Cl)cc2cnc(C)nc2n1C,2.5,basic
CC(=O)N=c1cccc[nH]1,4.09,basic
CC(=O)NBr,8.1,acidic
CC(=O)NC1CONC1=O,5.8,acidic
CC(=O)NCC(=O)O,3.6,acidic
CC(=O)NCCN,9.28,basic
CC(=O)NCc1cc(C)cc(CNC(C)=O)c1O,9,acidic
CC(=O)NCc1cccc(Cn2[nH]c(=NS(=O)(=O)c3ccc(Cl)s3)c3c(C#N)cccc32)c1,5.4,acidic
CC(=O)NCc1cccc(Cn2[nH]c(=NS(=O)(=O)c3ccc(Cl)s3)c3c(C(C)(C)O)cccc32)c1,5.46,acidic
CC(=O)NCc1cccc(Cn2[nH]c(=NS(=O)(=O)c3ccc(Cl)s3)c3c(C(C)O)cccc32)c1,5.62,acidic
CC(=O)NCc1cccc(Cn2[nH]c(=NS(=O)(=O)c3ccc(Cl)s3)c3c(CO)cccc32)c1,5.66,acidic
CC(=O)NCc1cccc(Cn2[nH]c(=NS(=O)(=O)c3ccc(Cl)s3)c3c(Cl)cccc32)c1,6.03,acidic
CC(=O)NCc1cccc(Cn2[nH]c(=NS(=O)(=O)c3ccc(Cl)s3)c3c(F)cccc32)c1,5.62,acidic
CC(=O)NCc1cccc(Cn2[nH]c(=NS(=O)(=O)c3ccc(Cl)s3)c3ccccc32)c1,5.93,acidic
CC(=O)NCc1ccccn1,4.23,basic
CC(=O)NOCCc1ccccc1,9.58,acidic
CC(=O)NS(=O)(=O)c1ccc(C)cc1,4.8,acidic
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cc(C(C)(C)C)ncn2)CCCCC1,6.7,basic
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cc(CC(C)(C)C)no2)CCCCC1,6.4,basic
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(-n3cccn3)c2)CC1,6.7,basic
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(-n3cccn3)c2)CCCCC1,7.85,basic
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C(F)F)c2)CC1,6.7,basic
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C)c2)CC1,6.6,basic
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C)c2)CCC1,7.8,basic
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C)c2)CCCCC1,8.133333,basic
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C)c2)CCOCC1,7.2,basic
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C3CCOC3)c2)CCCCC1,8.1,basic
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cnn(CC(C)(C)C)c2)CC1,7.05,basic
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1CCCc2ccc(CC(C)(C)C)cc21,8.9,basic
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)[C@H]1CC[C@@H](OCC2CCCCC2)CN1,8.6,basic
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)[C@H]1CO[C@@H](OCC(C)(C)C)[C@H](C)N1,6.9,basic
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)[C@H]1CO[C@@H](OCC2CCCCC2)CN1,6.7,basic
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)[C@H]1CO[C@@H](OCC2CCCCC2)[C@H](C)N1,6.7,basic
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)[C@H]1C[C@@H](OCC2CCCCC2)CN1,8.2,basic
CC(=O)Nc1ccc(Cc2c3ccccc3nc3ccccc23)cc1,7.51,basic
CC(=O)Nc1ccc(N)cc1,4.46,basic
CC(=O)Nc1ccc(O)cc1,9.543333,acidic
CC(=O)Nc1ccc(OC(=O)Nc2cc(C(=O)c3ccccc3)ccc2O)cc1,9.49,acidic
CC(=O)Nc1ccc(OC(=O)Nc2cc(Cl)ccc2O)cc1,9.49,acidic
CC(=O)Nc1ccc(OC(=O)Nc2ccc(C(=O)c3ccccc3)cc2O)cc1,9.49,acidic
CC(=O)Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,5.87,acidic
CC(=O)Nc1ccc(S(=O)(=O)N=c2nc(C)cc[nH]2)cc1,5.46,acidic
CC(=O)Nc1ccc(S(N)(=O)=O)cc1,10.02,acidic
CC(=O)Nc1ccc(S)cc1,6.08,acidic
CC(=O)Nc1ccc2c(=Nc3ccc(C(=O)O)cc3)c3ccccc3[nH]c2c1,7.42,acidic
CC(=O)Nc1ccc2cc3ccccc3nc2c1,5.6,basic
CC(=O)Nc1ccc2nc(N(C)CCO)ccc2c1,8.91,basic
CC(=O)Nc1ccc2nc(OCCN(C)C)ccc2c1,9.94,basic
CC(=O)Nc1ccc2nc(SCCN(C)C)ccc2c1,11.55,basic
CC(=O)Nc1ccc2nc3ccccc3cc2c1,4.7,basic
CC(=O)Nc1ccc2ncccc2c1,5.51,basic
CC(=O)Nc1cccc(O)c1,9.38,acidic
CC(=O)Nc1cccc(OC(=O)Nc2cc(Cl)ccc2O)c1,9.38,acidic
CC(=O)Nc1cccc2cc3ccccc3nc12,3,basic
CC(=O)Nc1cccc2nc3ccccc3cc12,4.4,basic
CC(=O)Nc1cccnc1,4.44,basic
CC(=O)OC(C)CN(C)C,8.31,basic
CC(=O)OC1CN2CCC1CC2,9.27,basic
