flag,smile,predict,true
train,Nc1nc2ccc(Cl)cc2o1,[2.301961660385132],[2.2899999618530273]
train,C[C@H](N)COc1ccc(F)nc1,[9.533565521240234],[9.520000457763672]
train,Nc1noc(C2CN3CCC2CC3)n1,[9.1442289352417],[9.229999542236328]
train,CN1CC[C@H]1COc1cncnc1,[7.4627461433410645],[7.579999923706055]
train,CC1C2CCC(N)(C2)C1(C)C,[10.513199806213379],[10.489999771118164]
train,Clc1cccc2c1cnn2N=C1NCCN1,[7.923547267913818],[7.96999979019165]
train,N=C(NO)N/N=C/c1ccccc1Br,[6.453741550445557],[6.599999904632568]
train,COc1ccc(-c2cncs2)cc1,[2.8098952770233154],[2.869999885559082]
train,Nc1ccccc1SCc1ccc(Cl)cc1,[3.327723264694214],[3.319999933242798]
train,COC(=O)c1ccc(N)cc1,[2.7755985260009766],[2.740000009536743]
train,CC(O)CNC(=N)NCCS,[12.282931327819824],[12.430000305175781]
train,NC(=O)c1cccc2nc(N)nc(N)c12,[5.80085563659668],[5.710000038146973]
train,CCOC(=O)CN(C)Cc1cnc(C)s1,[5.04469633102417],[5.25]
train,COc1ccc(-c2c[nH]nc2C)cc1,[3.1942250728607178],[3.259999990463257]
train,CNc1ccc(C(=O)NO)cc1,[3.3938944339752197],[3.430000066757202]
train,COc1cc(CC(C)N)c(OC)cc1F,[9.92133903503418],[9.920000076293945]
train,COc1ccccc1CCN,[9.72936725616455],[9.710000038146973]
train,Oc1ccnc2ccccc12,[2.9195475578308105],[2.759999990463257]
train,CC(C)(C)Nc1nc(N)nc(Cl)n1,[4.305060386657715],[4.349999904632568]
train,CSc1nnc(C2CCNCC2)n1C,[9.995102882385254],[9.960000038146973]
train,Nc1ccccc1NC(=O)Nc1ccccc1,[3.3384664058685303],[3.240000009536743]
train,Nc1ccc2c(=O)[nH]cnc2c1,[4.755436420440674],[4.960000038146973]
train,CNCCC1CN(C)C(=S)c2cccnc2O1,[9.902400016784668],[9.800000190734863]
train,CCCCCC/C(=N/O)c1ccccn1,[2.6053218841552734],[2.5899999141693115]
train,CCC(Cc1ccc(SC)cc1)NC(C)C,[10.527607917785645],[10.489999771118164]
train,Cc1ccc2nc(C(=O)O)cc(O)c2c1,[4.1949896812438965],[4.260000228881836]
train,c1ccc(CCC2CCCNC2)cc1,[10.511665344238281],[10.489999771118164]
train,Nc1n[nH]c2ccc(Br)cc12,[3.3579182624816895],[3.4200000762939453]
train,COc1ccc2c(c1)C1NC1C2,[5.896886348724365],[5.989999771118164]
train,COc1ccc(Sc2cccnc2)cc1,[4.318465709686279],[4.329999923706055]
train,Cn1ccc(=N)c2ccccc21,[10.048221588134766],[9.9399995803833]
train,CCc1ccccc1NC(=O)CCn1cccn1,[2.480651378631592],[2.490000009536743]
train,Nc1nc(-c2cccc(Br)c2)cs1,[4.132413864135742],[4.070000171661377]
train,Cc1nc(C)c(-c2ccnc(N)n2)s1,[3.356951951980591],[3.2899999618530273]
train,CCCCNC(=O)n1ccnc1C,[3.1486425399780273],[3.2100000381469727]
train,Nc1nc(-c2ccco2)c2sccc2n1,[2.3026371002197266],[2.1500000953674316]
train,Cn1nnc(C23CCCN(CC2)C3)n1,[8.933372497558594],[8.829999923706055]
train,CN[C@H](C)Cc1ccc2c(c1)OCO2,[10.244501113891602],[10.140000343322754]
train,CCCCN(CCCC)C(=O)n1ccnc1,[2.5474114418029785],[2.549999952316284]
train,Nc1nc(-c2ccccc2Br)cs1,[4.079023838043213],[4.03000020980835]
train,CCNCCCNCCCNCCCN1CCCCCC1,[10.820676803588867],[10.699999809265137]
train,CCCNC(C)(C)COC(=O)c1ccccc1,[9.754430770874023],[9.710000038146973]
train,CNC1=Nc2ccccc2C(C)N1,[11.483549118041992],[11.199999809265137]
train,NC1CC2C3CCC2C1C3=O,[9.791285514831543],[9.930000305175781]
train,CCOC(=O)NP(=O)(N1CC1)N1CC1,[0.4240896701812744],[0.3199999928474426]
train,COc1cc(C2CCN(C)CC2)ccc1O,[8.932008743286133],[8.9399995803833]
train,Cc1ccsc1-c1nnc(N=C(N)N)s1,[7.515707015991211],[7.25]
train,Clc1cc2nc(NCCBr)sc2cc1Cl,[3.3033790588378906],[3.2200000286102295]
train,c1cnc(NCCc2c[nH]cn2)cn1,[6.760003089904785],[6.699999809265137]
train,Cc1nc2ccccc2nc1N1CCCCC1,[3.009758710861206],[2.869999885559082]
train,CCc1ccccc1C1=CCN(C)CC1,[8.445961952209473],[8.430000305175781]
train,CCN1CCN(CC2CC3C=CC2C3)CC1,[9.160175323486328],[9.199999809265137]
train,CCCOC(=O)c1cnc2cc(C)nn2c1O,[1.9820681810379028],[1.9299999475479126]
train,CC(C)Nc1nc(N)nc(Cl)n1,[4.404509544372559],[4.380000114440918]
train,Cc1cc(NC(=O)CN2CCCCC2)no1,[6.571988105773926],[6.550000190734863]
train,O=C(O)[C@@H]1Cc2ccccc2CN1,[9.120716094970703],[9.069999694824219]
train,Cc1ccccc1-c1ccc(N)cc1,[4.323690891265869],[4.320000171661377]
train,Clc1cncc(OCc2ccco2)c1,[2.8220553398132324],[2.9100000858306885]
train,COCC(=O)Nc1ccc(N(C)C)cc1,[4.659498691558838],[4.590000152587891]
train,NCCCNCC(O)c1ccc(O)c(O)c1,[9.139723777770996],[9.15999984741211]
train,Cc1c(C)c(CN)c(C)c(C)c1CN,[9.648740768432617],[9.680000305175781]
train,Fc1ccc(CC2CCNCC2)cc1,[10.37975025177002],[10.350000381469727]
train,NCCc1cc[nH]n1,[9.57933235168457],[9.5600004196167]
train,CCCN1CC(O)C(O)C(O)C1CO,[8.342041015625],[8.350000381469727]
train,c1cc2c(cc1C1CCCN1)OCCCO2,[10.124367713928223],[10.130000114440918]
train,Nc1ccccc1N(CCBr)CCBr,[3.9447288513183594],[3.8299999237060547]
train,NCCc1ccc(O)c2nc(O)ccc12,[9.944854736328125],[9.930000305175781]
train,NC(CCSCC(N)C(=O)O)C(=O)O,[9.64572811126709],[9.65999984741211]
train,Cc1nnc(NCCN2CCOCC2)nc1O,[6.122791767120361],[6.090000152587891]
train,CSc1ccc(C/C(C)=N/O)cc1,[2.478147506713867],[2.450000047683716]
train,Nc1ncnc2c1ncn2N1CC(CO)C1CO,[2.5787715911865234],[2.240000009536743]
train,Cc1cc(-c2n[nH]c(N)n2)ccn1,[4.114390850067139],[4.059999942779541]
train,Nc1ccc(C[C@H](N)C(=O)O)cc1,[9.540239334106445],[9.520000457763672]
train,Cc1cc2c(ccc3nccn32)nc1C,[6.300127983093262],[6.139999866485596]
train,CN(C)CC1Cc2cc(Cl)ccc2C1=O,[8.277127265930176],[8.470000267028809]
train,COc1ccc(CCn2nccc2C)cc1,[2.6633474826812744],[2.619999885559082]
train,C1=C(CC2=NCCN2)CCc2ccccc21,[10.400348663330078],[10.369999885559082]
train,Cn1c2cnccc2c2ccc(Cl)cc21,[5.2689433097839355],[5.190000057220459]
train,Cc1nsc(N)c1C(=O)O,[4.5659308433532715],[4.659999847412109]
train,c1c[nH]c(CCC2=NCCN2)c1,[10.682622909545898],[10.729999542236328]
train,N=C(NO)N/N=C/c1ccc(O)cc1,[6.562906742095947],[6.730000019073486]
train,O=C(O)/C=C/c1ccncc1,[5.301082611083984],[5.349999904632568]
train,CCn1nnc(NC(=O)c2cccnc2)n1,[3.585407257080078],[3.490000009536743]
train,Cc1ccccc1C(O)c1cccnc1,[4.642789363861084],[4.670000076293945]
train,CCOC(=O)c1nnsc1NN,[3.284909725189209],[3.2699999809265137]
train,N#Cc1cccc(-c2c[nH]cn2)c1,[6.044187068939209],[5.929999828338623]
train,O=C(O)[C@H](CS)NC1CCCCC1,[10.82211685180664],[10.880000114440918]
train,Cc1cccc(Nn2c(S)nc(C)c2C)c1,[4.941691875457764],[4.889999866485596]
train,CN(C)CCCOC(=O)c1ccccc1,[9.416032791137695],[9.460000038146973]
train,O=C(Nc1cccnc1)c1cccc(F)c1,[4.378866195678711],[4.369999885559082]
train,CC(C)[C@H](N)C(=O)S,[9.622333526611328],[9.850000381469727]
train,COC(CN(C)N)c1cccc(F)c1,[5.807867527008057],[5.769999980926514]
train,Nc1ccc2oc(Cc3ccccc3)nc2c1,[2.970841407775879],[2.9000000953674316]
train,COc1ccc2c(ccn2CCCN)c1,[10.2877197265625],[10.3100004196167]
train,O=C(CCN(CCO)CCO)c1nccs1,[7.556258201599121],[7.579999923706055]
train,Oc1ccccc1CNc1ncc(Br)cc1Br,[3.402641534805298],[3.180000066757202]
train,COC(=O)C(C)Oc1ccc(O)nn1,[0.13627874851226807],[0.20000000298023224]
train,N#Cc1ccc2[nH]c(N)nc2c1,[7.395606994628906],[7.559999942779541]
train,Cn1ccnc1CCc1ccc(Cl)cc1Cl,[7.013432502746582],[6.989999771118164]
train,NCC(O)CSCc1ccc(Cl)cc1,[9.55730152130127],[9.569999694824219]
train,N[C@@H](Cc1c[nH]cn1)C(=O)O,[9.260684967041016],[9.25]
train,CNCC12CC3CC(CC1C3)C2,[10.617873191833496],[10.609999656677246]
train,OCCN1CN=C(S)NC1,[6.069094657897949],[6.230000019073486]
train,COc1nc(N)nc2nc[nH]c12,[4.249790668487549],[4.179999828338623]
train,CCCCOc1ccc(N)cn1,[3.414018154144287],[3.3499999046325684]
train,CCn1nc(C)cc1-c1nnc(S)n1N,[2.4599342346191406],[2.3499999046325684]
train,Cc1cccc(NN=C(N)S)c1C,[6.887811183929443],[6.71999979019165]
train,Oc1ccc(CCNC2CC2)cc1O,[9.25774097442627],[9.220000267028809]
train,CNc1nc(SC)nc2c1c(N)nn2C,[3.794856071472168],[3.8499999046325684]
train,Cc1cccc(C(C)c2c[nH]cn2)c1C,[6.569331169128418],[6.539999961853027]
train,C/C(=N\NC=O)c1ccncc1,[4.16046142578125],[4.179999828338623]
train,CC(N)C(=O)Nc1c(Br)cccc1Br,[8.173349380493164],[8.229999542236328]
train,Cc1cccc(C)c1Cc1ncc[nH]1,[7.018428802490234],[7.050000190734863]
train,CC(C)(CN)CCN,[10.394026756286621],[10.380000114440918]
train,Nc1ccc(-c2cccc(F)c2)cc1,[3.89707612991333],[3.890000104904175]
train,CC(C)CNc1[nH]cnc2nncc1-2,[1.0779207944869995],[0.9399999976158142]
train,CNCc1cc2ccccc2s1,[9.495965957641602],[9.510000228881836]
train,O/N=C/c1ncccc1C1OCCO1,[2.3392088413238525],[2.3499999046325684]
train,NC1=NC(=O)CN1,[8.773558616638184],[9.140000343322754]
train,N=C(N)NCCc1cccc(C(=O)O)c1,[12.156673431396484],[12.329999923706055]
train,CN1CCC(C(=O)c2ccccc2)CC1,[8.18221378326416],[8.180000305175781]
train,CN1C(C)(C)C=C(C=O)C1(C)C,[9.219983100891113],[9.260000228881836]
train,CCNCc1cc(Cl)cc(Cl)c1,[9.165007591247559],[9.109999656677246]
train,Nc1nc(N)c2[nH]c(S)nc2n1,[5.14655065536499],[5.309999942779541]
train,CCCC(O)CNc1cncc(Br)c1,[3.7032699584960938],[3.700000047683716]
train,CN(C)CCOc1cccc(Br)n1,[8.590807914733887],[8.609999656677246]
train,CN(O)C(=O)CCSc1nc2ccccc2s1,[1.1632778644561768],[1.100000023841858]
train,Nc1ccccc1-c1nc2ccccc2nc1O,[3.2260055541992188],[2.890000104904175]
train,c1ccc(CNCCCNCc2ccccc2)cc1,[9.5454740524292],[9.579999923706055]
train,O=C(NC1CCCCCC1)c1cccnc1S,[2.2930335998535156],[2.3399999141693115]
train,Clc1cccc(OCCN2CCOCC2)c1,[6.5944390296936035],[6.559999942779541]
train,O=C1CS/C(=C/c2cnc[nH]2)N1,[6.584870338439941],[6.579999923706055]
train,N/C(=N\O)c1ncccc1O,[3.1024587154388428],[3.0199999809265137]
train,CCN(CC)c1cc(Cl)nc(N)n1,[4.929608345031738],[4.980000019073486]
train,c1ccc2sc(N3CCCCC3)nc2c1,[2.728875160217285],[2.549999952316284]
train,CCCN(CCC)CCCOc1ccccc1,[10.336737632751465],[10.3100004196167]
train,CC(C)c1ccc(C23CNCC2C3)cc1,[10.59996223449707],[10.600000381469727]
train,CCCNc1[nH]cnc2ncnc1-2,[0.8930723667144775],[0.9399999976158142]
train,CCOCCN1CCn2c(C)nnc2C1,[5.262844085693359],[5.269999980926514]
train,NCc1ccccc1Sc1ccccc1CO,[9.031500816345215],[9.069999694824219]
train,CNC12CCCCCC1Cc1ccccc12,[10.004420280456543],[9.960000038146973]
train,Nc1ccccc1-c1nc(=O)c(O)cs1,[2.3626298904418945],[2.3399999141693115]
train,CC(CN)C(=O)O,[10.33103084564209],[10.319999694824219]
train,NCc1cccc([N+](=O)[O-])c1,[8.799287796020508],[8.869999885559082]
train,Clc1nccnc1C1=CCC2CCC1N2,[9.516091346740723],[9.4399995803833]
train,Oc1ccccc1Nc1ccccn1,[5.491065502166748],[5.460000038146973]
train,CSC(=N)NCCSCc1[nH]cnc1C,[10.290085792541504],[10.279999732971191]
train,NCc1csc(NC(=O)c2ccccn2)n1,[7.7136993408203125],[7.699999809265137]
train,CN1CC=C(Oc2ccccc2)CC1,[8.02158260345459],[8.020000457763672]
train,CNCc1ccccc1Oc1ccc(Cl)cc1OC,[8.827677726745605],[8.920000076293945]
train,CC1CCN(CC#CCCC2SCCCS2)CC1,[8.64084529876709],[8.65999984741211]
train,COCc1nc2ccccc2n1Cc1ccccc1,[4.359088897705078],[4.289999961853027]
train,Cc1ccccc1OCC(O)CNCC(C)C,[9.912008285522461],[9.890000343322754]
train,CCN1CN(CCc2ccccc2)CN=C1S,[5.953575134277344],[6.070000171661377]
train,CC1Cc2[nH]nc(C(=O)O)c2C1,[0.2487635761499405],[0.3100000023841858]
train,CCN1CN(CC)CN(CC)C1,[5.5524492263793945],[5.590000152587891]
train,NCCCCCc1nnc(SCC(N)=O)o1,[10.397564888000488],[10.210000038146973]
train,CCOC(C)c1nccn1Cc1cc(C)on1,[5.319012641906738],[5.320000171661377]
train,COc1ccc(NC(C)=O)cc1N,[3.8201394081115723],[3.890000104904175]
train,CCN(CC)CCNC(=O)c1ccc(N)cc1,[8.993937492370605],[9.039999961853027]
train,O=C(N1CCCC1)n1ccnc1,[2.528513193130493],[2.549999952316284]
train,Cc1cc(C)cc(OCCn2ccnc2)c1,[6.532863140106201],[6.489999771118164]
train,Cc1ccc2nc3n(c2c1)CCCN3,[6.854949474334717],[6.75]
train,CC1CCN(c2ccccc2N)CC1,[5.191801071166992],[5.190000057220459]
train,Cc1cc(I)cc(CNCCCN(C)C)c1O,[10.160782814025879],[10.109999656677246]
train,Nc1ccc(C(=O)NCC(=O)O)cc1,[4.035406589508057],[4.239999771118164]
train,NNc1nc2cc(Cl)cc(Cl)c2o1,[3.631748676300049],[3.559999942779541]
train,c1ccc(NCc2c[nH]cn2)cc1,[6.283036231994629],[6.260000228881836]
train,CC(=O)Nc1cccc(N)c1,[4.034663677215576],[4.0]
train,CCCNCCNc1ccnc2cc(Cl)ccc12,[9.822856903076172],[9.8100004196167]
train,CC1CCCc2sc3ncnc(N)c3c21,[3.8537755012512207],[3.9000000953674316]
train,N[C@@H](CP(=O)(O)O)C(=O)O,[9.771140098571777],[9.829999923706055]
train,NC(C(=O)O)c1cc(O)no1,[4.897925853729248],[4.949999809265137]
train,CN(C)CCOC(=O)c1cccc(Br)c1,[8.410993576049805],[8.420000076293945]
train,Nc1ccc(Sc2nnc(N)s2)cc1,[3.128425359725952],[3.180000066757202]
train,CCCCCCNCc1nc2ccccc2s1,[8.540928840637207],[8.539999961853027]
train,CC(C)CC(N)P(=O)(O)CCC(=O)O,[9.931014060974121],[9.920000076293945]
train,O=C(NC1CCNCC1)C1CCCCC1,[10.028420448303223],[10.029999732971191]
train,Cn1c(S)nc2cc(Cl)c(Cl)cc21,[3.982433557510376],[3.940000057220459]
train,NC(CCCCC(N)C(=O)O)C(=O)O,[9.852005958557129],[9.829999923706055]
train,CC(=N)NCC(F)CCC(N)C(=O)O,[12.07875919342041],[12.0600004196167]
train,COc1cccc(OCC2CNCCO2)c1,[8.12988567352295],[8.1899995803833]
train,Nc1cc(C(=O)O)nc(O)n1,[5.539680004119873],[5.71999979019165]
train,O=c1c(Br)c[nH]c2cccnc12,[2.6441078186035156],[2.690000057220459]
train,CC1=NC(C)(C)Cc2ccccc21,[8.001750946044922],[7.949999809265137]
train,C=Cc1cccn1N(C)c1ccncc1,[11.726216316223145],[11.289999961853027]
train,Cc1ccc(C(=N)N)cc1C,[11.912795066833496],[11.90999984741211]
train,NCCNc1ccc2ccccc2n1,[9.66062068939209],[9.609999656677246]
train,CC1CN1,[8.27125072479248],[7.949999809265137]
train,COc1ccc(C2=NNCC2C)c(OC)c1,[3.2081050872802734],[3.1700000762939453]
train,Cc1ccc(C)c(CN2CCSCC2)c1,[8.485577583312988],[8.529999732971191]
train,CCCCc1ccc(CCCNC)cc1,[10.301061630249023],[10.289999961853027]
train,O=C(O)Cn1cc(Br)c(C2CC2)n1,[3.1090338230133057],[3.0299999713897705]
train,NC(CS)C(=O)O,[9.103398323059082],[9.050000190734863]
train,Clc1cccc2c1Oc1ccccc1CCN2,[3.506690263748169],[3.5999999046325684]
train,COc1ccccc1CNCCCNCCCCNCCCN,[10.718958854675293],[10.75]
train,CN1CCC[C@@H]1c1cc2ncccc2o1,[8.446969985961914],[8.579999923706055]
train,O=C1C=CC(=O)N1Cc1ccccn1,[4.239632606506348],[4.119999885559082]
train,Cc1ccc(/N=c2\ssnc2Cl)nc1,[3.8182101249694824],[3.7200000286102295]
train,N=C(N)SCCCc1ccccc1,[10.608055114746094],[10.59000015258789]
train,CCCCCCCCCn1ccnc1,[6.60331392288208],[6.539999961853027]
train,CP(=O)(O)OCCN,[10.076910972595215],[10.0]
train,O=C(CSc1nncs1)Nc1nccs1,[0.11055336892604828],[0.05999999865889549]
train,Cc1ccc(CC(C)N)cc1,[10.095063209533691],[10.039999961853027]
train,CNCCCCN1CCN(CCCCNC)CC1,[10.95955753326416],[10.850000381469727]
train,O=S1(=O)NCCN1Cc1cccc(O)c1,[0.22720247507095337],[0.18000000715255737]
train,NCCc1ccc(N)cc1,[9.960427284240723],[9.869999885559082]
train,CNC(=S)N/N=C/c1ccco1,[0.0958937257528305],[0.11999999731779099]
train,NSc1[nH]c(N)nc2ncnc1-2,[3.394899606704712],[3.759999990463257]
train,S=C(NCCc1ccccc1Cl)c1cccnc1,[4.321113586425781],[4.269999980926514]
train,O=C(NCCSc1ccccc1)c1cccnc1,[3.6760196685791016],[3.619999885559082]
train,Cc1ccc2nc3ccccc3c(N)c2c1,[9.542912483215332],[9.359999656677246]
train,CNCCc1ccccc1Cl,[10.036002159118652],[9.970000267028809]
train,CNc1cc(Nc2ccc(OC)cc2)ncn1,[6.423690319061279],[6.46999979019165]
train,C/C(=N\N)c1ccc(C)cc1,[4.459614276885986],[4.349999904632568]
train,ClCCN1C2=NCCCN2c2ccccc21,[8.933791160583496],[8.869999885559082]
train,C=CCNc1ccccc1C(=O)NCC(C)C,[2.5985493659973145],[2.619999885559082]
train,CC(C)(C)CCOCCCN1CCCCC1,[9.691997528076172],[9.670000076293945]
train,CSc1c[nH]c(-c2ncc[nH]2)n1,[4.933590412139893],[4.929999828338623]
train,FCCc1noc(C2=CCCNC2)n1,[8.782426834106445],[8.779999732971191]
train,Clc1ccc(SCCCCN2CCOCC2)cc1,[7.3237504959106445],[7.329999923706055]
train,Cc1cc(=O)oc2ccc(O)c(CN)c12,[10.136828422546387],[9.9399995803833]
train,O=C(CCc1ccccc1)NCCCn1ccnc1,[6.796513557434082],[6.789999961853027]
train,CC(C)C(N)(C(=O)O)c1ccccc1,[8.996256828308105],[9.010000228881836]
train,Cc1[nH]c(O)nc1C(=O)c1cccs1,[2.985100746154785],[2.8399999141693115]
train,CCc1c(C)nc2ccccc2c1O,[3.5604941844940186],[3.4700000286102295]
train,Cc1sc(Br)cc1S(=O)(=O)NCCN,[8.77115535736084],[8.880000114440918]
train,Cc1nnc2sc(-c3ccncc3)nn12,[2.857759475708008],[2.9800000190734863]
train,c1nc(CCCCCNC2CCCC2)c[nH]1,[10.93100357055664],[10.869999885559082]
train,BrC1=NOC2(CCCNC2)C1,[9.075850486755371],[8.949999809265137]
train,CN(CCCOc1ccccc1)Cc1nccn1C,[6.873018741607666],[6.800000190734863]
train,NN(CCO)c1nc2ccccc2o1,[3.8507678508758545],[3.7799999713897705]
train,COCCNCCCOc1ccc(Br)cc1Cl,[9.392997741699219],[9.5]
train,CCC(C)N=C(S)Nc1ccccc1OC,[5.490991592407227],[5.389999866485596]
train,C=CCNC1=NCCN1OCc1ccccc1,[9.290863037109375],[9.369999885559082]
train,Nc1nc(N)c2nc[nH]c2n1,[6.156819820404053],[6.150000095367432]
train,O=C(O)c1cscn1,[0.061799392104148865],[0.05999999865889549]
train,N/C(=N\O)N1CCCCC1,[8.249706268310547],[8.010000228881836]
train,Fc1cccc(Cn2cnnc2S)c1,[1.798443078994751],[1.7799999713897705]
train,Cc1cn(C2CN3CCC2CC3)nn1,[9.061262130737305],[9.09000015258789]
train,Oc1nc(S)nc(O)c1CN1CCCCC1,[8.005843162536621],[8.140000343322754]
train,c1ccc2ncc(C3CCCN3)cc2c1,[10.04597282409668],[10.109999656677246]
train,COCCN=C(S)Nc1ccccn1,[4.645968914031982],[4.389999866485596]
train,COc1ccc(-c2csc(N)n2)cc1,[4.116783618927002],[4.079999923706055]
train,CCCCCCOc1nonc1C1=CCCN(C)C1,[6.937507629394531],[6.909999847412109]
train,C=CCNCC=C,[9.250810623168945],[9.15999984741211]
train,CCCCCCCCCCOCC(O)CN,[9.540121078491211],[9.520000457763672]
train,CCCSC[C@@H]1CCC(O)N1,[9.856314659118652],[9.899999618530273]
train,Cc1[nH]cnc1CC(=O)O,[7.239314556121826],[7.150000095367432]
train,c1coc(CNc2ncnc3ccccc23)c1,[4.802254676818848],[4.809999942779541]
train,O=C(NCN1CCOCC1)c1cnccn1,[4.0841965675354],[4.0]
train,Brc1ccc(OC[C@H]2CCN2)cn1,[9.773357391357422],[9.779999732971191]
train,CCn1c(O)nnc1-c1ccc(Cl)cc1,[1.3216580152511597],[1.309999942779541]
train,CC(C)c1ccc(C(=O)O)c(O)n1,[2.182633638381958],[2.140000104904175]
train,NC(=O)c1ccc(/C=N/O)nc1,[1.4598299264907837],[1.399999976158142]
train,CSCC(C)(O)CNc1ncccc1I,[4.9254631996154785],[5.050000190734863]
train,NNC(=O)CC1=NNC(=O)C1,[3.215141773223877],[3.259999990463257]
train,Cn1c(N)nc2sc(C(N)=O)cc21,[5.12963342666626],[5.179999828338623]
train,CCOC(=O)CSc1nnc(C)c(O)n1,[2.0219273567199707],[1.9800000190734863]
train,NC(C(=O)O)C1CC1CP(=O)(O)O,[9.553433418273926],[9.600000381469727]
train,NNC(=O)c1nnc(O)c2ccccc12,[2.5402486324310303],[2.5999999046325684]
train,O=C(NN=C1CCCC1)c1ccncc1,[3.063218116760254],[3.0399999618530273]
train,COc1ccc(CCN)c2ccc(O)nc12,[9.760629653930664],[9.75]
train,CCCCNCc1c2ccccc2cc2ccccc12,[10.25789737701416],[10.220000267028809]
train,CCCCCN(C)C,[9.786726951599121],[9.789999961853027]
train,N[C@@H]1C[C@H]1c1ccccc1,[9.634195327758789],[9.619999885559082]
train,OCCN(Cc1ccccc1)CC1CC=CCC1,[9.559075355529785],[9.59000015258789]
train,COc1cccc(C2CCN(C(C)C)C2)c1,[9.432300567626953],[9.489999771118164]
train,N=C(N)SCCN,[10.615772247314453],[10.59000015258789]
train,COc1cc(C)c2cc(Br)cc(C)c2n1,[2.2507872581481934],[2.3399999141693115]
train,Cc1cccnc1CC(O)C(Cl)(Cl)Cl,[5.651893138885498],[5.650000095367432]
train,Brc1ccc(NCc2ccco2)cc1,[2.875535011291504],[2.9700000286102295]
train,CN(C)c1nccc(Cc2ccccc2)n1,[3.7780404090881348],[3.630000114440918]
train,CC(C)NC(=N)NO,[10.705839157104492],[10.770000457763672]
train,CCCNCc1cc2ccccc2oc1=O,[9.106365203857422],[9.09000015258789]
train,COCC(O)CNc1ccccc1,[4.120051860809326],[4.119999885559082]
train,CN(C)C(=O)Oc1cccnc1CO,[3.4617843627929688],[3.430000066757202]
train,CC(C)CC(N)C=O,[8.007469177246094],[8.079999923706055]
train,C/N=C(\S)n1cnc(N)n1,[2.6982545852661133],[2.609999895095825]
train,Cc1ccnc2c(Cl)ccc(Cl)c12,[3.096182346343994],[3.0199999809265137]
train,NC(Cc1ccnn1O)C(=O)O,[9.089542388916016],[9.229999542236328]
train,CC(C)n1cnnc1CN(C)CC1CCOC1,[7.0158162117004395],[6.909999847412109]
train,CN(C)C1(c2ccccc2)CCC(O)CC1,[9.558049201965332],[9.619999885559082]
train,CC(C)(C)C1CCC(O)C(N)C1,[9.85296630859375],[9.869999885559082]
train,CCc1cc(N)ccc1CC(C)N,[10.099546432495117],[10.100000381469727]
